,Model Run,Model,Feature Variables,Explained Variance Score,MAE,MSE,R2_score,N_Neighbors,max_depth
44,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year']",0.123824376127756,569.3372572664782,670728.4258460827,0.12381986958223555,15.0,
45,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5597451581522146,402.2399778261177,337920.37844093976,0.5585707868580085,3.0,
46,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5760840465390615,396.11771086820863,325449.4658368602,0.5748616810721423,4.0,
47,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5846881503601777,393.18514056115663,318930.13133948896,0.5833779614771933,5.0,
48,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5891042369457427,391.38299334780123,315602.1602497904,0.5877253277599335,6.0,
49,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907270395500057,390.81717864715677,314392.0757090213,0.5893060748848375,7.0,
50,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5919470673736402,390.69427771283034,313464.06117582694,0.5905183507678793,8.0,
51,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923717145116121,390.831373258246,313152.5430135375,0.5909252904673828,9.0,
52,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923888151381034,391.1162926175631,313163.6237072821,0.5909108156317919,10.0,
53,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5915751479133224,391.58436710650045,313818.5227689621,0.5900553135788569,11.0,
54,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907781719013097,391.9781120547599,314441.6745022405,0.58924128342016,12.0,
55,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5901799895867998,392.3963480256275,314923.138424025,0.5886123416524864,13.0,
56,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5893208670438248,392.98689344352715,315599.9043023725,0.5877282747295662,14.0,
57,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5882236237944101,393.553302944523,316465.7790882968,0.5865971727013503,15.0,
58,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5405269740243847,416.4547651156289,352724.1095902953,0.5392325053877547,3.0,
59,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5508971564691005,413.08279913029855,344823.6270197258,0.5495529951453086,4.0,
60,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5548940326140447,411.9591454180235,341820.9669409938,0.5534754039742844,5.0,
61,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.555983242451781,411.554495098452,341023.0747355889,0.5545176995885027,6.0,
62,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5542492646561508,412.4272798543795,342363.1956903462,0.5527670844249458,7.0,
63,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5529970018573809,413.4286522106472,343302.74475938425,0.5515397408472449,8.0,
64,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5517362939819643,414.2458859631984,344253.4796941178,0.5502977850466437,9.0,
65,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5501637480795312,415.1941949969968,345456.6736228646,0.5487260392061758,10.0,
66,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5473676372020571,416.32242629111533,347621.9252918505,0.5458975464561835,11.0,
67,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5452606445334187,416.96148527583847,349230.77930722584,0.5437958822554505,12.0,
68,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5438472102885282,417.6862306515213,350330.93888517376,0.5423587313530256,13.0,
69,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5420467440388627,418.61489963720544,351720.5480135432,0.5405434692284353,14.0,
70,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5401014363763765,419.49581557478086,353234.3952916507,0.538565913403376,15.0,
71,kNN: n_neighbours=3.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5597451581522146,402.2399778261177,337920.37844093976,0.5585707868580085,3.0,
72,kNN: n_neighbours=4.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5760840465390615,396.11771086820863,325449.4658368602,0.5748616810721423,4.0,
73,kNN: n_neighbours=5.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5846881503601777,393.18514056115663,318930.13133948896,0.5833779614771933,5.0,
74,kNN: n_neighbours=6.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5891042369457427,391.38299334780123,315602.1602497904,0.5877253277599335,6.0,
75,kNN: n_neighbours=7.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907270395500057,390.81717864715677,314392.0757090213,0.5893060748848375,7.0,
76,kNN: n_neighbours=8.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5919470673736402,390.69427771283034,313464.06117582694,0.5905183507678793,8.0,
77,kNN: n_neighbours=9.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923717145116121,390.831373258246,313152.5430135375,0.5909252904673828,9.0,
78,kNN: n_neighbours=10.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5923888151381034,391.1162926175631,313163.6237072821,0.5909108156317919,10.0,
79,kNN: n_neighbours=11.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5915751479133224,391.58436710650045,313818.5227689621,0.5900553135788569,11.0,
80,kNN: n_neighbours=12.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5907781719013097,391.9781120547599,314441.6745022405,0.58924128342016,12.0,
81,kNN: n_neighbours=13.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5901799895867998,392.3963480256275,314923.138424025,0.5886123416524864,13.0,
82,kNN: n_neighbours=14.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5893208670438248,392.98689344352715,315599.9043023725,0.5877282747295662,14.0,
83,kNN: n_neighbours=15.00,kNN,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5882236237944101,393.553302944523,316465.7790882968,0.5865971727013503,15.0,
84,DecisionTree: max_depth=4.00,DecisionTree,"['Mean_price_paid', 'Year']",0.26561391569533155,515.3974723665486,562183.1847725181,0.2656137459340454,,4.0
85,DecisionTree: max_depth=5.00,DecisionTree,"['Mean_price_paid', 'Year']",0.2763742231311085,508.92681849049245,553946.0008617548,0.2763740724612888,,5.0
86,DecisionTree: max_depth=6.00,DecisionTree,"['Mean_price_paid', 'Year']",0.2829900234394275,505.3946343438265,548881.4545311843,0.28298994662649724,,6.0
87,DecisionTree: max_depth=7.00,DecisionTree,"['Mean_price_paid', 'Year']",0.28646965368769906,503.7338221863233,546217.6924869118,0.2864696491192139,,7.0
88,DecisionTree: max_depth=8.00,DecisionTree,"['Mean_price_paid', 'Year']",0.283917158177201,503.74261386426696,548171.6660327681,0.28391715137158746,,8.0
89,DecisionTree: max_depth=9.00,DecisionTree,"['Mean_price_paid', 'Year']",0.27957290479993824,504.7100425428334,551497.3089156362,0.2795728264517682,,9.0
90,DecisionTree: max_depth=10.00,DecisionTree,"['Mean_price_paid', 'Year']",0.274813465056342,505.911344961458,555140.7605891195,0.27481334431349946,,10.0
91,DecisionTree: max_depth=12.00,DecisionTree,"['Mean_price_paid', 'Year']",0.258547044585158,510.9248454590367,567592.9641045579,0.2585468899935076,,12.0
92,DecisionTree: max_depth=15.00,DecisionTree,"['Mean_price_paid', 'Year']",0.21527242321877693,523.3997764904825,600720.4533895388,0.21527207597990208,,15.0
93,DecisionTree: max_depth=20.00,DecisionTree,"['Mean_price_paid', 'Year']",0.10048821193824453,558.1736801442495,688589.6711260214,0.10048752281452657,,20.0
94,DecisionTree: max_depth=5.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.3667546174872432,481.730380662976,484759.2014143736,0.3667535712674197,,5.0
95,DecisionTree: max_depth=7.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.440693891453905,454.79031877934545,428158.0773043341,0.4406922600026828,,7.0
96,DecisionTree: max_depth=10.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5411307537131691,412.48939119670115,351272.6779054661,0.541128527017227,,10.0
97,DecisionTree: max_depth=12.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5864320731998378,388.8951746697912,316597.7764101121,0.5864247431066196,,12.0
98,DecisionTree: max_depth=13.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6039183464363054,379.04411327139525,303212.5390779668,0.6039100300564875,,13.0
99,DecisionTree: max_depth=14.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6168032227891493,370.01652661821083,293355.13582804817,0.6167868674354897,,14.0
100,DecisionTree: max_depth=15.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6259439915437486,363.3985090609344,286369.0654980871,0.6259128501386853,,15.0
101,DecisionTree: max_depth=16.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6255432566446397,359.6401562524161,286683.1474027873,0.6255025613934677,,16.0
102,DecisionTree: max_depth=17.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6213955087103096,357.75351071382306,289865.787806175,0.6213450422303348,,17.0
103,DecisionTree: max_depth=18.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6129342560263561,357.3186022778673,296343.5818656712,0.6128830265692136,,18.0
104,DecisionTree: max_depth=19.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.606451685608541,358.48331499257574,301314.4705859225,0.6063894983998834,,19.0
105,DecisionTree: max_depth=20.00,DecisionTree,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5920315321352145,361.82291620388514,312344.66444768076,0.5919806313772318,,20.0
106,RandomForest: max_depth=5.00,RandomForest,"['Mean_price_paid', 'Year']",0.28301335689077145,506.0601638740684,548863.5394319645,0.2830133493232757,,5.0
107,RandomForest: max_depth=10.00,RandomForest,"['Mean_price_paid', 'Year']",0.28727356325843256,502.9655713435003,545603.1741268703,0.2872724014047847,,10.0
108,RandomForest: max_depth=15.00,RandomForest,"['Mean_price_paid', 'Year']",0.2729233625422748,507.87108584417035,556591.9372225257,0.2729176558605864,,15.0
109,RandomForest: max_depth=20.00,RandomForest,"['Mean_price_paid', 'Year']",0.23207897728142898,523.9202611764255,587860.3742934497,0.23207134278506336,,20.0
110,RandomForest: max_depth=25.00,RandomForest,"['Mean_price_paid', 'Year']",0.16645344375998206,549.3131836251533,638095.6766822352,0.16644839897876873,,25.0
111,RandomForest: max_depth=30.00,RandomForest,"['Mean_price_paid', 'Year']",0.09840183798868483,574.0079288577423,690187.38102487,0.09840041629928242,,30.0
112,RandomForest: max_depth=5.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.3967231247364591,470.41594677048215,461817.09521853615,0.39672310412771294,,5.0
113,RandomForest: max_depth=10.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5915941171878991,392.36837573348816,312646.7336108628,0.5915860350121559,,10.0
114,RandomForest: max_depth=15.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7092772181011305,331.2646271983369,222588.46651437331,0.7092301681205199,,15.0
115,RandomForest: max_depth=20.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7545569750797356,302.5290396036857,187935.0740923584,0.7544982866640846,,20.0
116,RandomForest: max_depth=25.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7635805160696328,295.32457089019715,181019.75823901425,0.7635318419940529,,25.0
117,RandomForest: max_depth=30.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7645435150481193,294.34217769806634,180277.97781978193,0.7645008381472195,,30.0
118,RandomForest: max_depth=35.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7643638283891461,294.30340904304285,180416.12970841976,0.7643203687722242,,35.0
119,RandomForest: max_depth=40.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7645804732037902,294.2605538093069,180251.3807926334,0.7645355821446671,,40.0
120,RandomForest: max_depth=5.00,RandomForest,"['Mean_price_paid', 'Year']",0.2832253343258412,505.97569351997305,548701.2715566658,0.2832253216844629,,5.0
121,RandomForest: max_depth=10.00,RandomForest,"['Mean_price_paid', 'Year']",0.2874193771024849,502.90052499383864,545491.3688232417,0.28741845393773235,,10.0
122,RandomForest: max_depth=15.00,RandomForest,"['Mean_price_paid', 'Year']",0.2726564289025305,508.0406969873829,556795.8680648161,0.2726512586942983,,15.0
123,RandomForest: max_depth=20.00,RandomForest,"['Mean_price_paid', 'Year']",0.23105997979943216,524.2778304312574,588641.0716483614,0.231051508998564,,20.0
124,RandomForest: max_depth=25.00,RandomForest,"['Mean_price_paid', 'Year']",0.1649926240614138,550.1150734019822,639213.4001856681,0.16498830412178767,,25.0
125,RandomForest: max_depth=30.00,RandomForest,"['Mean_price_paid', 'Year']",0.09650931100193992,574.9881410180882,691636.0807709423,0.09650796343231373,,30.0
126,RandomForest: max_depth=5.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.39707548471587983,470.1872752935499,461547.3784818903,0.3970754381520124,,5.0
127,RandomForest: max_depth=10.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.5913159630115946,392.424388841102,312859.3500069119,0.5913082918087359,,10.0
128,RandomForest: max_depth=15.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7085600701115647,331.8624478146648,223137.0182465253,0.7085135887872205,,15.0
129,RandomForest: max_depth=20.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7535926793416009,303.5159946219723,188673.00779543526,0.7535343155197486,,20.0
130,RandomForest: max_depth=25.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7627038288860086,296.37226665711137,181688.9362866416,0.7626576871402412,,25.0
131,RandomForest: max_depth=30.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7640159470119826,295.2177947601709,180681.70804117364,0.7639734407917452,,30.0
132,RandomForest: max_depth=35.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7640979453685943,295.0924412462672,180619.40480511927,0.7640548282138195,,35.0
133,RandomForest: max_depth=40.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7638665585323007,295.1547111097437,180798.60736186645,0.7638207338866798,,40.0
134,RandomForest: max_depth=5.00,RandomForest,"['Mean_price_paid', 'Year']",0.28311057360599234,506.02484180177004,548789.1258596822,0.2831105566145649,,5.0
135,RandomForest: max_depth=10.00,RandomForest,"['Mean_price_paid', 'Year']",0.2872931935818244,502.96491535368085,545588.2176541587,0.28729193921428564,,10.0
136,RandomForest: max_depth=15.00,RandomForest,"['Mean_price_paid', 'Year']",0.27305607459568404,507.83684449695625,556490.5156066861,0.2730501440647076,,15.0
137,RandomForest: max_depth=30.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7649928210421635,294.07260308838806,179933.09345715167,0.7649513644916892,,30.0
138,RandomForest: max_depth=35.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7648577011757713,294.0403829199329,180037.17102633443,0.7648154067856698,,35.0
139,RandomForest: max_depth=40.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7650948259085616,293.9356113262453,179856.77866563704,0.7650510553671694,,40.0
140,RandomForest: max_depth=45.00,RandomForest,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7649957352764131,293.9189988362281,179933.79108202033,0.7649504531764314,,45.0
141,GradientBoosting: max_depth=5.00,GradientBoosting,"['Mean_price_paid', 'Year']",0.28930859972002154,502.2610231719643,544044.4473596382,0.2893085838141949,,5.0
142,GradientBoosting: max_depth=10.00,GradientBoosting,"['Mean_price_paid', 'Year']",0.2808929451244282,504.670380722891,550486.7397241442,0.2808929444188584,,10.0
143,GradientBoosting: max_depth=15.00,GradientBoosting,"['Mean_price_paid', 'Year']",0.24806631358385298,515.0005794991072,575616.014255231,0.24806628881949666,,15.0
144,GradientBoosting: max_depth=20.00,GradientBoosting,"['Mean_price_paid', 'Year']",0.18141854026967186,538.0348306905878,626635.8279549069,0.18141852901286185,,20.0
145,GradientBoosting: max_depth=5.00,GradientBoosting,"['Mean_price_paid', 'Year', 'X', 'Y']",0.6029078258539531,388.22468656412536,303979.7716115871,0.6029077855183642,,5.0
146,GradientBoosting: max_depth=10.00,GradientBoosting,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7477220225520979,314.2402215108074,193128.17828963546,0.7477144759032635,,10.0
147,GradientBoosting: max_depth=15.00,GradientBoosting,"['Mean_price_paid', 'Year', 'X', 'Y']",0.8162813828565634,262.55042175561766,140663.86106293896,0.8162492070084494,,15.0
148,GradientBoosting: max_depth=20.00,GradientBoosting,"['Mean_price_paid', 'Year', 'X', 'Y']",0.7805996512314102,273.16448171747606,167995.89632804182,0.7805450601431184,,20.0
