,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
57367,2267,337318.648,392203.236,E01006540,63741.0,Liverpool,E08000012,Liverpool 024,E02001370,Liverpool 024A,861.0,2433679.4,3434.720699946824,2826.573055000001,2236.3,2011.0,2826.573054587689,82955.40530299999
59452,4533,335673.649,395097.688,E01006790,66057.0,Liverpool,E08000012,Liverpool 006,E02001352,Liverpool 006C,939.0,2295748.35,2601.2201428816647,2444.886422,2068.8,2017.0,2444.88642172524,44452.80221825
57348,5493,343278.04600000003,385082.759,E01006538,63720.0,Liverpool,E08000012,Liverpool 055,E02001401,Liverpool 055E,529.0,2117928.9,3907.713787186279,4003.6463137996216,3508.9,2010.0,4003.6463137996216,163748.1398825
57380,2268,336904.57200000004,393734.724,E01006541,63755.0,Liverpool,E08000012,Liverpool 015,E02001361,Liverpool 015A,815.0,2375540.25,3186.427070190728,2914.7733129999997,2465.1,2015.0,2914.773312883436,82752.66025625
292711,4275,335646.329,387527.422,E01033767,331295.0,Liverpool,E08000012,Liverpool 050,E02001396,Liverpool 050J,582.0,1622708.0,2878.5404767724312,2788.0,2280.0,2014.0,2788.1580756013745,67679.513889
58564,2712,338696.615,385613.793,E01006684,65071.0,Liverpool,E08000012,Liverpool 056,E02001402,Liverpool 056B,998.0,4143193.5,4058.6274232225546,4151.496493,3417.3,2011.0,4151.4964929859725,185116.4596275
58018,3614,339384.321,393075.674,E01006617,64464.0,Liverpool,E08000012,Liverpool 021,E02001367,Liverpool 021A,649.0,2304593.0,3537.328688614763,3551.0,2990.0,2014.0,3550.9907550077037,141773.18377250002
57757,2589,339389.67299999995,389628.493,E01006586,64174.0,Liverpool,E08000012,Liverpool 032,E02001378,Liverpool 032C,857.0,2668818.0,3479.8108527620147,3114.0,2641.0,2014.0,3114.140023337223,168643.2291675
57328,5488,341004.4620000001,385799.256,E01006535,63697.0,Liverpool,E08000012,Liverpool 054,E02001400,Liverpool 054B,660.0,2233998.6,3334.5496787966513,3384.846364,2904.85,2017.0,3384.846363636364,196165.63159
58827,4520,339077.84,390434.775,E01006716,65363.0,Liverpool,E08000012,Liverpool 032,E02001378,Liverpool 032E,700.0,2106413.1,3042.9446285198087,3009.161571,2533.5,2013.0,3009.1615714285717,67858.76623375
59303,3222,342781.655,388257.475,E01006772,65892.0,Liverpool,E08000012,Liverpool 040,E02001386,Liverpool 040E,502.0,1902007.0,3429.924008027047,3788.8585659999994,3355.2,2012.0,3788.858565737052,104085.41666675
