,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
297599,34474,194175.234,237982.979,W01000567,399475.0,Pembrokeshire,W06000009,Pembrokeshire 002,W02000127,Pembrokeshire 002D,1009.0,3413082.1,3564.511560722167,3382.6383549999996,2761.3,2015.0,3382.638354806739,129373.23378
298044,34321,194271.317,234292.006,W01000617,399970.0,Pembrokeshire,W06000009,Pembrokeshire 002,W02000127,Pembrokeshire 002F,657.0,3361779.5,4873.850877973502,5116.863774733638,4097.1,2010.0,5116.863774733638,169406.7460325
297629,33392,194145.585,215749.708,W01000570,399508.0,Pembrokeshire,W06000009,Pembrokeshire 005,W02000130,Pembrokeshire 005C,680.0,1904599.733,2899.08845357833,2800.881961,2505.5,2018.0,2800.8819602941176,77125.0
297923,33017,196476.381,203251.441,W01000603,399835.0,Pembrokeshire,W06000009,Pembrokeshire 013,W02000138,Pembrokeshire 013D,879.0,3136443.3,3501.1822326693214,3568.1948810000013,3080.2,2015.0,3568.1948805460747,137612.915075
297790,32963,191295.042,206411.836,W01000588,399687.0,Pembrokeshire,W06000009,Pembrokeshire 010,W02000135,Pembrokeshire 010B,1078.0,3498317.9,3509.46210636733,3245.192857,2827.0,2017.0,3245.192857142857,148525.29095999998
298074,33656,213290.202,200433.288,W01000620,400003.0,Pembrokeshire,W06000009,Pembrokeshire 016,W02000141,Pembrokeshire 016C,884.0,2448238.6,3077.8558012266667,2769.5006789999998,1856.55,2013.0,2769.500678733032,208630.09263
297537,34478,214684.236,236901.649,W01000560,399406.0,Pembrokeshire,W06000009,Pembrokeshire 001,W02000126,Pembrokeshire 001C,560.0,2854247.7,4762.21061109638,5096.870893,4222.5,2016.0,5096.870892857143,208094.444445
297873,34290,196357.8,205433.301,W01000598,399780.0,Pembrokeshire,W06000009,Pembrokeshire 009,W02000134,Pembrokeshire 009C,1109.0,4055311.6,3830.2689941805265,3656.7282236248875,3169.8,2010.0,3656.7282236248875,157087.330585
297565,34477,209446.74,206035.764,W01000563,399437.0,Pembrokeshire,W06000009,Pembrokeshire 011,W02000136,Pembrokeshire 011B,477.0,2317898.9,4729.319473842609,4859.326834,3797.1,2017.0,4859.326834381551,221031.40625
297691,33387,215468.133,213904.705,W01000577,399577.0,Pembrokeshire,W06000009,Pembrokeshire 007,W02000132,Pembrokeshire 007A,646.0,3106172.833,4752.204716261529,4808.31708,3774.15,2017.0,4808.317078947369,234972.67857
297829,34280,191138.614,206946.497,W01000593,399731.0,Pembrokeshire,W06000009,Pembrokeshire 010,W02000135,Pembrokeshire 010C,1146.0,4676565.0,4086.5661080005216,4080.772251,3548.5,2011.0,4080.7722513089006,146247.455575
297747,32952,207142.257,199111.062,W01000584,399640.0,Pembrokeshire,W06000009,Pembrokeshire 014,W02000139,Pembrokeshire 014C,933.0,4419893.3,4700.111664630461,4737.291854233655,3670.65,2010.0,4737.291854233655,259530.71997
