,Unnamed: 0,X,Y,LSOA code,Unnamed: 0.1,Local authority name,Local authority code,MSOA name,MSOA code,LSOA name,Total_number_of_domestic_electricity_meters,Total_domestic_electricity_consumption_kWh,Predicted_Electricity_Consumption_kWH,Mean_domestic_electricity_consumption_kWh_per_meter,Median_domestic_electricity_consumption_kWh_per_meter,Year,Ratio_Consumption_per_Meter,Mean_price_paid
297472,33766,215284.938,207581.113,W01000553,399334.0,Pembrokeshire,W06000009,Pembrokeshire 011,W02000136,Pembrokeshire 011A,697.0,3269100.0,4823.766690549997,4690.0,3626.0,2014.0,4690.243902439024,211303.304955
302753,33207,300325.232,202323.928,W01001150,405202.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 003,W02000254,Rhondda Cynon Taf 003B,865.0,2356050.2,2801.5763735795954,2723.757457,2303.5,2012.0,2723.757456647399,59269.43564249999
308453,34037,316874.707,183077.851,W01001795,411535.0,Cardiff,W06000015,Cardiff 002,W02000368,Cardiff 002B,655.0,2333368.3,3556.546803899999,3562.394351,3056.6,2015.0,3562.394351145038,213951.68255250002
309006,34569,316536.539,177121.78699999995,W01001859,412150.0,Cardiff,W06000015,Cardiff 034,W02000400,Cardiff 034B,802.0,2585914.7,3228.7154954740927,3224.3325436408973,2520.4,2010.0,3224.3325436408973,208837.41795000003
295487,33574,323570.859,363778.215,W01000314,397128.0,Flintshire,W06000005,Flintshire 016,W02000073,Flintshire 016B,674.0,2217855.7,3337.4874324800016,3290.587092,2445.45,2018.0,3290.5870919881318,147413.245555
295523,33586,323111.9,364167.088,W01000318,397168.0,Flintshire,W06000005,Flintshire 016,W02000073,Flintshire 016F,540.0,1684077.8,3229.331052569998,3118.662593,2782.6,2018.0,3118.662592592593,81279.1666675
293701,33337,270527.218,344266.758,W01000113,395144.0,Gwynedd,W06000002,Gwynedd 009,W02000018,Gwynedd 009C,992.0,4033168.0,3991.3888221271413,4066.0,3269.0,2014.0,4065.693548387097,103316.85999225
299124,34133,268824.61100000003,196174.906,W01000740,401170.0,Swansea,W06000011,Swansea 014,W02000181,Swansea 014C,661.0,2687247.9,3619.123217214208,4065.427987897125,3266.5,2010.0,4065.427987897125,97244.79166675
292765,32914,260254.469,376196.491,W01000005,394104.0,Isle of Anglesey,W06000001,Isle of Anglesey 005,W02000005,Isle of Anglesey 005A,1152.0,4366185.0,4015.7596407882543,3790.0,2803.0,2014.0,3790.091145833334,213516.99625250002
303337,33987,296753.165,196145.835,W01001216,405851.0,Rhondda Cynon Taf,W06000016,Rhondda Cynon Taf 011,W02000262,Rhondda Cynon Taf 011D,705.0,2259299.9,3163.6535331769064,3204.680709,2877.3,2011.0,3204.680709219858,63813.048514
300271,34205,264571.292,192928.868,W01000871,402444.0,Swansea,W06000011,Swansea 026,W02000193,Swansea 026B,770.0,2651398.0,3211.0022872943728,3443.0,2484.0,2014.0,3443.3740259740252,118131.3789675
299042,33197,245419.377,204475.932,W01000730,401078.0,Carmarthenshire,W06000010,Carmarthenshire 018,W02000159,Carmarthenshire 018D,565.0,2275339.7,3518.6907841300003,4027.149912,3218.5,2018.0,4027.149911504425,170167.8692425
295218,34458,330087.697,365897.219,W01000285,396830.0,Flintshire,W06000005,Flintshire 013,W02000070,Flintshire 013D,583.0,2741349.5,4473.714029549527,4702.143224699827,4061.0,2010.0,4702.143224699827,188737.43444
308085,33304,313172.43100000004,177515.58399999997,W01001753,411126.0,Cardiff,W06000015,Cardiff 031,W02000397,Cardiff 031C,660.0,2296736.3,3199.8012442799977,3479.903485000001,3063.95,2016.0,3479.9034848484844,107211.87113
296694,34493,306020.26300000004,261997.874,W01000455,398470.0,Powys,W06000023,Powys 013,W02000109,Powys 013B,961.0,3553744.45,3585.615637878361,3697.965088449532,2959.8,2010.0,3697.965088449532,137178.215035
